playerId,playerName,teamId,h_a,matchId,turnover,dispossessed
44120.0,Pierre-Emerick Aubameyang,59,h,1993900,1,0
100881.0,Ximo Navarro,59,h,1993900,1,0
357388.0,Gonzalo Villar,833,a,1993900,0,0
390240.0,Germán Valera,833,a,1993900,1,1
391082.0,Fer Niño,833,a,1993900,4,0
393081.0,Giacomo Quagliata,59,h,1993900,2,1
402087.0,Tete Morente,833,a,1993900,1,1
402862.0,Víctor Chust,833,a,1993900,1,0
409130.0,Mario Soriano,59,h,1993900,0,2
419616.0,Federico Redondo,833,a,1993900,0,0
422916.0,Matías Dituro,833,a,1993900,0,0
423282.0,David Affengruber,833,a,1993900,2,0
423420.0,Leo Román,59,h,1993900,0,0
428620.0,Luismi Cruz,59,h,1993900,0,0
429003.0,Zakaria Eddahchouri,59,h,1993900,0,1
431768.0,Lucas Noubi,59,h,1993900,1,0
438351.0,Martim Neto,833,a,1993900,0,2
448009.0,Diego Villares,59,h,1993900,0,0
448041.0,Adrià Alti,59,h,1993900,0,0
448050.0,Marc Aguado,833,a,1993900,0,0
470032.0,Lorenzo Amatucci,59,h,1993900,2,0
507361.0,David Mella,59,h,1993900,0,1
508339.0,Ali Houary,833,a,1993900,3,3
510360.0,Buba Sangaré,833,a,1993900,1,1
511028.0,Kevin Sánchez,59,h,1993900,0,0
516414.0,Lucas Cepeda,833,a,1993900,0,1
527113.0,Jonathan Asp Jensen,59,h,1993900,2,1
556141.0,Umaru,833,a,1993900,3,1
598590.0,Bil Nsongo,59,h,1993900,2,2
617819.0,Javier Morcillo,833,a,1993900,0,0
631884.0,Bright Ede,59,h,1993900,4,1
644193.0,Álvaro Padilla,833,a,1993900,2,1
