playerId,playerName,teamId,h_a,matchId,passLongBallAccurate,passLongBallInaccurate,shortPassAccurate,shortPassInaccurate,passTotal
44120.0,Pierre-Emerick Aubameyang,59,h,1993900,0,0,12,4,16
100881.0,Ximo Navarro,59,h,1993900,2,2,28,4,51
357388.0,Gonzalo Villar,833,a,1993900,0,0,60,11,73
390240.0,Germán Valera,833,a,1993900,3,2,28,2,41
391082.0,Fer Niño,833,a,1993900,0,0,14,5,19
393081.0,Giacomo Quagliata,59,h,1993900,1,3,23,3,47
402087.0,Tete Morente,833,a,1993900,0,2,10,1,14
402862.0,Víctor Chust,833,a,1993900,4,5,70,2,85
409130.0,Mario Soriano,59,h,1993900,3,1,34,4,42
419616.0,Federico Redondo,833,a,1993900,1,0,59,4,64
422916.0,Matías Dituro,833,a,1993900,13,15,27,1,59
423282.0,David Affengruber,833,a,1993900,0,2,83,3,91
423420.0,Leo Román,59,h,1993900,6,9,18,0,36
428620.0,Luismi Cruz,59,h,1993900,0,2,5,3,10
429003.0,Zakaria Eddahchouri,59,h,1993900,0,0,6,3,9
431768.0,Lucas Noubi,59,h,1993900,7,7,37,2,53
438351.0,Martim Neto,833,a,1993900,0,0,23,1,26
448009.0,Diego Villares,59,h,1993900,2,4,23,2,32
448041.0,Adrià Alti,59,h,1993900,0,0,13,1,17
448050.0,Marc Aguado,833,a,1993900,1,2,59,3,65
470032.0,Lorenzo Amatucci,59,h,1993900,5,0,49,8,62
507361.0,David Mella,59,h,1993900,0,0,3,3,9
508339.0,Ali Houary,833,a,1993900,0,1,36,4,42
510360.0,Buba Sangaré,833,a,1993900,0,1,41,2,53
511028.0,Kevin Sánchez,59,h,1993900,0,0,0,1,1
516414.0,Lucas Cepeda,833,a,1993900,0,0,17,2,20
527113.0,Jonathan Asp Jensen,59,h,1993900,0,0,7,2,10
556141.0,Umaru,833,a,1993900,0,0,3,1,4
598590.0,Bil Nsongo,59,h,1993900,0,0,9,2,12
617819.0,Javier Morcillo,833,a,1993900,0,0,8,2,10
631884.0,Bright Ede,59,h,1993900,4,1,29,4,38
644193.0,Álvaro Padilla,833,a,1993900,1,0,6,0,8
