playerId,playerName,teamId,h_a,matchId,passLongBallAccurate,passLongBallInaccurate,shortPassAccurate,shortPassInaccurate,passTotal
44189.0,Sergio Canales,56,h,1993903,0,0,35,5,41
97659.0,Gerard Moreno,839,a,1993903,0,0,16,3,20
135366.0,Ayoze Pérez,839,a,1993903,0,0,7,0,7
239872.0,Nicolas Pepe,839,a,1993903,1,0,32,5,43
331171.0,Asier Villalibre,56,h,1993903,0,1,4,4,9
335107.0,Juan Foyth,839,a,1993903,2,2,66,5,76
362735.0,Santi Comesaña,839,a,1993903,3,0,23,3,29
371027.0,Tajon Buchanan,839,a,1993903,0,0,10,1,16
389020.0,Georges Mikautadze,839,a,1993903,1,0,24,3,28
399047.0,Pape Gueye,839,a,1993903,4,2,43,7,56
400826.0,Luiz Júnior,839,a,1993903,2,2,16,0,24
402137.0,Iñigo Vicente,56,h,1993903,5,2,48,11,69
413758.0,Pablo Ramón,56,h,1993903,0,1,28,2,31
422961.0,Andrés Martín,56,h,1993903,1,0,19,9,34
423108.0,Julen Agirrezabala,56,h,1993903,4,4,12,0,23
423973.0,Manu Hernando,56,h,1993903,0,0,11,2,13
428500.0,Ilias Akhomach,839,a,1993903,0,0,6,3,13
434077.0,Renato Veiga,839,a,1993903,1,3,75,1,80
440159.0,Alex Freeman,839,a,1993903,0,0,3,0,5
444264.0,Facu González,56,h,1993903,0,1,0,1,2
448211.0,Alberto Moleiro,839,a,1993903,0,0,26,1,30
448397.0,Álvaro Mantilla,56,h,1993903,1,2,15,3,24
448936.0,Santiago Mouriño,839,a,1993903,3,1,42,7,59
468931.0,Carlos Romero,839,a,1993903,2,0,48,3,56
472904.0,Gustavo Puerta,56,h,1993903,2,0,59,2,67
478316.0,Pedro Felipe,56,h,1993903,0,0,2,1,3
485481.0,Maguette Gueye,56,h,1993903,0,0,10,2,12
538158.0,Yassir Zabiri,56,h,1993903,0,0,3,0,3
541900.0,Jorge Salinas,56,h,1993903,2,5,29,3,47
545956.0,Diego Díaz,56,h,1993903,0,1,3,0,5
586240.0,Sergio Martínez,56,h,1993903,0,1,17,4,22
603190.0,Carlos Maciá,839,a,1993903,1,0,26,1,28
