name,playerId,teamId,teamName,age,height,weight,positionText,season
James Hill,362837,183,Bournemouth,24,184,73,Defender,2026_27
Sander Berge,321020,170,Fulham,28,195,96,Midfielder,2026_27
Aurèle Amenda,450271,17,Coventry,23,194,90,Defender,2026_27
Ross Barkley,92547,24,Aston Villa,32,189,76,Midfielder,2026_27
Brennan Johnson,379688,31,Everton,25,186,73,Forward,2026_27
Enzo Fernández,369430,15,Chelsea,25,178,73,Midfielder,2026_27
Jeremie Frimpong,392644,26,Liverpool,25,171,63,Defender,2026_27
Malick Thiaw,393355,23,Newcastle,25,194,86,Defender,2026_27
Sean Longstaff,342811,19,Leeds,28,180,65,Midfielder,2026_27
Dominic Calvert-Lewin,141469,19,Leeds,29,187,71,Forward,2026_27
Evann Guessand,382587,162,Crystal Palace,25,188,82,Forward,2026_27
Matt Grimes,138584,17,Coventry,31,181,70,Midfielder,2026_27
Tyrone Mings,123167,24,Aston Villa,33,196,77,Defender,2026_27
Aladji Bamba,546589,23,Newcastle,20,181,67,Midfielder,2026_27
Jean-Philippe Mateta,328096,162,Crystal Palace,29,192,88,Forward,2026_27
Liam Millar,391821,214,Hull,26,181,72,Forward,2026_27
Sindre Egeli,426913,165,Ipswich,20,182,70,Forward,2026_27
Paddy McNair,244565,214,Hull,31,183,72,Defender,2026_27
Kevin,429174,170,Fulham,23,176,71,Forward,2026_27
Beto,380546,31,Everton,28,194,88,Forward,2026_27
Tyler Adams,315275,183,Bournemouth,27,175,72,Midfielder,2026_27
Kobbie Mainoo,460260,32,Manchester United,21,184,72,Midfielder,2026_27
Lamare Bogarde,408946,24,Aston Villa,22,185,75,Midfielder,2026_27
Rio Ngumoha,548566,26,Liverpool,17,170,75,Forward,2026_27
Eberechi Eze,332403,13,Arsenal,28,178,73,Midfielder,2026_27
Jørgen Strand Larsen,333048,162,Crystal Palace,26,193,79,Forward,2026_27
Loum Tchaouna,425118,17,Coventry,22,180,68,Forward,2026_27
Yéremy Pino,403865,162,Crystal Palace,23,172,65,Midfielder,2026_27
Zadok Yohanna,623567,211,Brighton,19,184,0,Forward,2026_27
Malick Yalcouyé,533015,211,Brighton,20,169,0,Midfielder,2026_27
Bernd Leno,92173,170,Fulham,34,189,82,Goalkeeper,2026_27
Charalampos Kostoulas,533923,211,Brighton,19,185,0,Forward,2026_27
James Maddison,137015,30,Tottenham,29,175,73,Midfielder,2026_27
Matt Targett,136776,214,Hull,30,183,70,Defender,2026_27
Gustavo Hamer,332143,17,Coventry,29,169,61,Midfielder,2026_27
Archie Gray,429922,30,Tottenham,20,187,70,Midfielder,2026_27
Geovany Quenda,509068,15,Chelsea,19,172,68,Midfielder,2026_27
Taiwo Awoniyi,281049,17,Coventry,29,183,84,Forward,2026_27
Rico Lewis,444791,167,Manchester City,21,170,64,Defender,2026_27
Shea Lacey,563779,32,Manchester United,19,167,0,Forward,2026_27
Arnaud Kalimuendo,384005,174,Nottingham Forest,24,178,79,Forward,2026_27
Charly Alcaraz,391348,31,Everton,23,176,68,Midfielder,2026_27
Fabian Schär,82726,23,Newcastle,34,186,84,Defender,2026_27
