name,playerId,teamId,teamName,age,height,weight,positionText,season
Eric Dier,117973,248,Monaco,32,188,83,Defender,2026_27
Amine Gouiri,348654,249,Marseille,26,181,80,Forward,2026_27
Tiago Santos,447025,607,Lille,24,174,67,Defender,2026_27
Florian Thauvin,99143,309,Lens,33,179,70,Forward,2026_27
Kamory Doumbia,427362,2332,Brest,23,170,53,Midfielder,2026_27
Pierre-Emile Højbjerg,101859,249,Marseille,31,187,81,Midfielder,2026_27
Lamine Camara,447689,248,Monaco,22,173,65,Midfielder,2026_27
Franjo Ivanovic,499993,309,Lens,22,185,88,Forward,2026_27
Alexsandro Ribeiro,438897,607,Lille,27,191,82,Defender,2026_27
Romain Del Castillo,300291,2332,Brest,30,172,60,Midfielder,2026_27
Souleymane Sagnan,554952,309,Lens,21,187,77,Defender,2026_27
Geoffrey Kondogbia,91978,249,Marseille,33,188,80,Midfielder,2026_27
Louis Mafouta,431641,611,Le Mans,32,181,76,Forward,2026_27
Vanderson,408033,248,Monaco,25,173,74,Defender,2026_27
Angel Gomes,338497,249,Marseille,25,168,62,Midfielder,2026_27
Flávio Nazinho,411913,248,Monaco,23,178,72,Defender,2026_27
Anthony Lopes,71833,614,Angers,35,184,81,Goalkeeper,2026_27
Michal Skóras,401354,309,Lens,26,172,64,Forward,2026_27
Noah Nartey,538873,228,Lyon,20,180,70,Midfielder,2026_27
Hákon Haraldsson,424252,607,Lille,23,178,73,Midfielder,2026_27
Lilian Raolisoa,471064,614,Angers,26,178,70,Defender,2026_27
Keyliane Abdallah,523964,249,Marseille,20,185,71,Forward,2026_27
Adama Camara,511559,2832,Paris FC,29,195,87,Midfielder,2026_27
Ismaëlo Ganiou,456795,309,Lens,21,191,80,Defender,2026_27
Nathan Ngoy,414495,607,Lille,23,184,78,Defender,2026_27
Amine Sbaï,467223,614,Angers,25,175,72,Forward,2026_27
Saud Abdulhamid,457103,309,Lens,27,172,74,Defender,2026_27
Nabil Bentaleb,137521,607,Lille,31,187,76,Midfielder,2026_27
Théo Le Bris,423962,146,Lorient,23,170,65,Midfielder,2026_27
Romain Perraud,331466,607,Lille,28,173,68,Defender,2026_27
Igor Paixão,436553,249,Marseille,26,168,65,Forward,2026_27
Denis Zakaria,252419,248,Monaco,29,191,76,Midfielder,2026_27
Otávio,402207,2832,Paris FC,24,187,79,Defender,2026_27
Antoine Rabillard,302333,611,Le Mans,30,180,76,Forward,2026_27
Joris Chotard,380645,2332,Brest,24,179,70,Midfielder,2026_27
Corentin Tolisso,134894,228,Lyon,32,181,81,Midfielder,2026_27
Olivier Giroud,24444,607,Lille,39,193,91,Forward,2026_27
Abdallah Sima,404201,309,Lens,25,188,79,Forward,2026_27
