canonical_id,name,team,status,opta_id,whoscored_id,fotmob_id
586866,Abde Rebbach,Alaves,existing,586866.0,447835.0,
463001,Abdel Abqar,Getafe,existing,463001.0,409740.0,
631935,Abdoulaye Faye,Lorient,existing,631935.0,,1555492.0
498594,Abel Bretones,Osasuna,existing,498594.0,461771.0,1323398.0
629738,Adama Boiro,Athletic Club,existing,629738.0,515307.0,1331249.0
720618,Adama Timera,Espanyol,existing,720618.0,,1876774.0
219352,Ademola Lookman,Atletico Madrid,existing,219352.0,299451.0,690516.0
465599,Adrià Alti,Villarreal,existing,465599.0,448041.0,
437808,Adrián de la Fuente,Levante,existing,437808.0,383780.0,952528.0
472145,Aihen Muñoz,Real Sociedad,existing,472145.0,367583.0,999159.0
484702,Aimar Oroz,Osasuna,existing,484702.0,395321.0,1054786.0
80993,Aitor Fernández,Osasuna,existing,,,213471.0
551482,Aitor Mañas,Alaves,existing,551482.0,514695.0,1553663.0
440593,Aitor Paredes,Athletic Club,existing,440593.0,402663.0,1191407.0
513956,Alberto Moleiro,Villarreal,existing,513956.0,448211.0,1184694.0
654780,Alberto Risco,Getafe,existing,654780.0,523331.0,1637438.0
199250,Aleix Febas,Elche,existing,199250.0,381643.0,671686.0
493019,Alejandro Balde,Barcelona,existing,,,1254166.0
244273,Alejandro Catena,Osasuna,existing,244273.0,374638.0,814663.0
106004,Alejandro Grimaldo,Bayer Leverkusen,existing,106004.0,107252.0,288406.0
631986,Alejandro Rego,Athletic Club,existing,631986.0,,1425769.0
483116,Alemão,Rayo Vallecano,existing,483116.0,436617.0,
195385,Alex Berenguer,Athletic Club,existing,195385.0,238899.0,574629.0
484917,Alex Freeman,Villarreal,existing,484917.0,440159.0,1338696.0
627656,Alex Lebarbier,Real Sociedad,existing,627656.0,,1426185.0
634254,Alex Marchal,Real Sociedad,existing,634254.0,546574.0,1721611.0
643319,Alex Panach,Valencia,existing,643319.0,,
631382,Ali Houary,Elche,existing,631382.0,508339.0,1670281.0
451302,Altay Bayindir,Manchester United,existing,,,866967.0
471138,Ander Barrenetxea,Real Sociedad,existing,471138.0,367857.0,1002618.0
431644,Ander Guevara,Alaves,existing,431644.0,344120.0,873827.0
135363,Andreas Christensen,Barcelona,existing,135363.0,130331.0,449232.0
466543,Andrei Ratiu,Rayo Vallecano,existing,466543.0,372331.0,970578.0
