match_id,match_date,match_round,league_name,home_team,home_team_id,away_team,away_team_id,id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,isFromInsideBox,keeperId,firstName,lastName,fullName,teamColor
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960633993,Miss,9823,860914,Luis Díaz,95.35087719170001,37.2025,43,,False,False,,,42.46625,4.940965524800001,0.04203919693827629,0.0,Header,RegularPlay,FirstHalf,False,"{'x': 0, 'y': 0.5836073261243171, 'zoomRatio': 0.446478665288646}",False,True,,Luis,Díaz,Luis Díaz,#C60428
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960639613,AttemptSaved,9823,1029063,Michael Olise,97.1842105256,35.75375,45,1.0,False,True,103.2931034484,35.220000000000006,35.220000000000006,0.0834736838,0.13164089620113373,0.1945231854915619,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.6772486772486757, 'y': 0.02208298513227513, 'zoomRatio': 1}",False,True,522236.0,Michael,Olise,Michael Olise,#C60428
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960665989,AttemptSaved,9823,1029063,Michael Olise,94.1929824545,43.720509549300004,47,,True,True,96.8947368413,41.772499999999994,34.915000000000006,1.2199999940000001,0.08835001289844513,0.0,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 0.7579365079365064, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Michael,Olise,Michael Olise,#C60428
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960673881,AttemptSaved,10269,867080,Jeff Chabot,100.9224137934,27.950714285,52,,False,True,104.525862069,32.24625,31.865,1.4639999928,0.08781853318214417,0.38862738013267517,Header,RegularPlay,SecondHalf,False,"{'x': 1.5648148148148162, 'y': 0.38730158539682535, 'zoomRatio': 1}",False,True,27299.0,Jeff,Chabot,Jeff Chabot,#D30029
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960673959,Goal,10269,928454,Josha Vagnoman,93.2,28.454999999,52,,False,True,,,32.779999999999994,1.9519999904,0.10891038179397583,0.38866961002349854,RightFoot,RegularPlay,SecondHalf,False,"{'x': 1.3227513227513243, 'y': 0.5164021138624338, 'zoomRatio': 1}",False,True,27299.0,Josha,Vagnoman,Josha Vagnoman,#D30029
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960675993,AttemptSaved,9823,194165,Harry Kane,82.4849514568,32.24625,54,,True,True,86.889705882,32.474999999999994,33.61875,1.2199999940000001,0.026582172140479088,0.0,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 1.1008597883597888, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Harry,Kane,Harry Kane,#C60428
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960678237,Goal,9823,1029063,Michael Olise,92.6,36.5925,55,,False,True,,,36.97375,0.160526315,0.602142870426178,0.7766749262809753,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 0.21329365079365015, 'y': 0.042467279100529096, 'zoomRatio': 1}",False,True,522236.0,Michael,Olise,Michael Olise,#C60428
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960681929,Goal,10269,928454,Josha Vagnoman,4.74137931,32.6275,57,,False,True,,,32.779999999999994,1.7914736754,,,RightFoot,SetPiece,SecondHalf,True,"{'x': 1.3227513227513243, 'y': 0.47393483476190473, 'zoomRatio': 1}",False,True,522236.0,Josha,Vagnoman,Josha Vagnoman,#D30029
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960684947,AttemptSaved,10269,614384,Maximilian Mittelstädt,83.723786408,41.888125,60,,True,True,89.6,39.713095239,33.8475,1.2199999940000001,0.022941628471016884,0.0,LeftFoot,IndividualPlay,SecondHalf,False,"{'x': 1.0403439153439162, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Maximilian,Mittelstädt,Maximilian Mittelstädt,#D30029
5881143,2026-08-28T18:30:00.000Z,1,Bundesliga,Bayern München,9823,VfB Stuttgart,10269,2960685011,AttemptSaved,10269,1164506,Tiago Tomás,86.889705882,43.3001273835,60,,False,True,104.1465517242,34.0,35.29625000000001,0.4879999976,0.04405719414353371,0.06237724795937538,RightFoot,ThrowInSetPiece,SecondHalf,False,"{'x': 0.6570767195767175, 'y': 0.12910052846560846, 'zoomRatio': 1}",False,False,27299.0,Tiago,Tomás,Tiago Tomás,#D30029
