match_id,match_date,match_round,league_name,home_team,home_team_id,away_team,away_team_id,id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,isFromInsideBox,keeperId,firstName,lastName,fullName,teamColor,shortName
5868011,2026-08-15T17:30:00.000Z,1,LaLiga,Deportivo Alavés,9866,Getafe,8305,2955270617,AttemptSaved,9866,518525,Mariano Díaz,94.675438595,34.38125,71,,False,True,103.6724137932,34.38125,34.0,0.7705263120000001,0.05471623316407204,0.017226431518793106,Header,RegularPlay,SecondHalf,False,"{'x': 1, 'y': 0.2038429396825397, 'zoomRatio': 1}",False,True,581919.0,Mariano,Díaz,Mariano Díaz,#0351A3,
5868011,2026-08-15T17:30:00.000Z,1,LaLiga,Deportivo Alavés,9866,Getafe,8305,2955272427,Goal,9866,860314,Nahuel Tenaglia,98.0526315785,31.865,73,,False,True,,,32.09375,1.8299999910000002,0.2511007785797119,0.3674788177013397,Header,RegularPlay,SecondHalf,False,"{'x': 1.5042989417989419, 'y': 0.48412698174603175, 'zoomRatio': 1}",False,True,581919.0,Nahuel,Tenaglia,Nahuel Tenaglia,#0351A3,
5868011,2026-08-15T17:30:00.000Z,1,LaLiga,Deportivo Alavés,9866,Getafe,8305,2955277091,AttemptSaved,9866,518525,Mariano Díaz,82.4849514568,26.4009375,78,,True,True,93.2,30.244,34.22875,1.2199999940000001,0.0723966732621193,0.0,RightFoot,FreeKick,SecondHalf,False,"{'x': 0.9394841269841275, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Mariano,Díaz,Mariano Díaz,#0351A3,
5868011,2026-08-15T17:30:00.000Z,1,LaLiga,Deportivo Alavés,9866,Getafe,8305,2955278145,AttemptSaved,8305,1202587,Ramón Terrats,85.3867647052,23.648917202,79,,False,True,103.2931034484,32.6275,35.525000000000006,1.3034736778000002,0.03680954501032829,0.07420340925455093,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 0.5965608465608451, 'y': 0.34483430629629636, 'zoomRatio': 1}",False,False,530468.0,Ramón,Terrats,Ramón Terrats,#084888,
5868011,2026-08-15T17:30:00.000Z,1,LaLiga,Deportivo Alavés,9866,Getafe,8305,2955279245,Miss,9866,845998,Antonio Blanco,79.66941747679999,23.2985987305,80,,False,False,,,41.772499999999994,4.5846896616,0.020066848024725914,0.0,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0, 'y': 0.5898603617368934, 'zoomRatio': 0.48633000964940537}",False,False,,Antonio,Blanco,Antonio Blanco,#0351A3,
5868011,2026-08-15T17:30:00.000Z,1,LaLiga,Deportivo Alavés,9866,Getafe,8305,2955281643,Miss,8305,464486,Enes Ünal,97.3771929818,34.99125,81,,False,False,,,30.304,4.7063448344,0.0860937163233757,0.0,Header,SetPiece,SecondHalf,False,"{'x': 1.5318588414548728, 'y': 0.6772486772486772, 'zoomRatio': 0.5439465423970294}",False,True,,Enes,Ünal,Enes Ünal,#084888,
5868011,2026-08-15T17:30:00.000Z,1,LaLiga,Deportivo Alavés,9866,Getafe,8305,2955286021,Miss,9866,1426189,Mikel Rodríguez,91.0,29.295476189000002,85,,False,False,,,29.799761903000004,0.3595789456,0.4825683832168579,0.0,RightFoot,FastBreak,SecondHalf,False,"{'x': 2, 'y': 0.0856091815025505, 'zoomRatio': 0.8999489821064788}",False,True,,Mikel,Rodríguez,Mikel Rodríguez,#0351A3,
5868011,2026-08-15T17:30:00.000Z,1,LaLiga,Deportivo Alavés,9866,Getafe,8305,2955287211,AttemptSaved,8305,765693,Orel Mangala,89.9,35.29625000000001,87,,True,True,98.7280701752,35.0675,34.99125,1.2199999940000001,0.059842344373464584,0.0,RightFoot,SetPiece,SecondHalf,False,"{'x': 0.73776455026455, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Orel,Mangala,Orel Mangala,#084888,
5868011,2026-08-15T17:30:00.000Z,1,LaLiga,Deportivo Alavés,9866,Getafe,8305,2955289891,AttemptSaved,8305,1637438,Alberto Risco,76.6286407784,36.440000000000005,89,,True,True,90.0,34.68625,32.474999999999994,1.2199999940000001,0.015087983570992947,0.0,LeftFoot,FromCorner,SecondHalf,False,"{'x': 1.4034391534391548, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Alberto,Risco,Alberto Risco,#084888,
5868011,2026-08-15T17:30:00.000Z,1,LaLiga,Deportivo Alavés,9866,Getafe,8305,2955292281,Goal,9866,518525,Mariano Díaz,84.3995145632,42.2928125,90,1.0,False,True,,,30.95,1.9134736748,0.05789674073457718,0.8155760169029236,RightFoot,FastBreak,SecondHalf,False,"{'x': 1.806878306878306, 'y': 0.5062099668783069, 'zoomRatio': 1}",False,False,581919.0,Mariano,Díaz,Mariano Díaz,#0351A3,
