playerId,playerName,teamId,h_a,matchId,outfielderBlock,outfielderBlockedPass,passCrossBlockedDefensive
44189.0,Sergio Canales,56,a,1993912,0,0,0
134695.0,Enes Ünal,819,h,1993912,0,0,0
135098.0,Johan Mojica,819,h,1993912,0,0,0
243262.0,David Soria,819,h,1993912,0,0,0
278721.0,Borja Mayoral,819,h,1993912,0,0,0
331171.0,Asier Villalibre,56,a,1993912,0,0,0
332990.0,Djené Dakonam,819,h,1993912,0,0,0
344073.0,Orel Mangala,819,h,1993912,0,0,0
372473.0,Iván Martín,56,a,1993912,0,0,0
389191.0,Zaid Romero,819,h,1993912,0,1,2
402137.0,Iñigo Vicente,56,a,1993912,0,0,0
403803.0,Martín Satriano,819,h,1993912,0,0,0
409740.0,Abdel Abqar,819,h,1993912,0,0,1
410988.0,Saba Sazonov,819,h,1993912,0,1,0
413758.0,Pablo Ramón,56,a,1993912,1,0,0
422961.0,Andrés Martín,56,a,1993912,0,0,1
423108.0,Julen Agirrezabala,56,a,1993912,0,0,0
423973.0,Manu Hernando,56,a,1993912,1,1,0
424675.0,Francho Serrano,819,h,1993912,0,2,0
431570.0,Juan Carlos Arana,56,a,1993912,0,0,0
444244.0,Ramón Terrats,819,h,1993912,0,4,0
444264.0,Facu González,56,a,1993912,0,0,0
448397.0,Álvaro Mantilla,56,a,1993912,0,2,1
469329.0,Andrés García,819,h,1993912,0,0,0
472904.0,Gustavo Puerta,56,a,1993912,0,1,0
484251.0,Sebastián Boselli,819,h,1993912,0,1,0
485481.0,Maguette Gueye,56,a,1993912,0,0,0
523331.0,Alberto Risco,819,h,1993912,0,0,0
538158.0,Yassir Zabiri,56,a,1993912,0,0,0
541900.0,Jorge Salinas,56,a,1993912,0,0,0
586240.0,Sergio Martínez,56,a,1993912,0,0,0
