canonical_id,name,team,status,opta_id,whoscored_id,fotmob_id
437742,Albert Sambi Lokonga,Hamburger SV,existing,437742.0,349102.0,901495.0
226858,Alessio Castro-Montes,Koln,existing,226858.0,317306.0,748620.0
228316,Bakery Jatta,Hamburger SV,existing,228316.0,329689.0,763998.0
584649,Daniel Elfadli,Hamburger SV,existing,584649.0,,1383070.0
141021,Daniel Heuer Fernandes,Hamburger SV,existing,141021.0,132896.0,406501.0
554194,Jahmai Simpson-Pusey,Koln,existing,554194.0,534072.0,1463271.0
470311,Jan Thielmann,Koln,existing,470311.0,389376.0,1119643.0
244761,Jordan Torunarigha,Hamburger SV,existing,244761.0,332120.0,700074.0
512524,Joël Schmied,Koln,existing,512524.0,550581.0,1003254.0
219846,Linton Maina,Koln,existing,219846.0,354555.0,930035.0
687635,Louis Lemke,Hamburger SV,existing,687635.0,607388.0,1899791.0
449343,Marius Bülter,Koln,existing,449343.0,361419.0,626890.0
183095,Marvin Schwäbe,Koln,existing,183095.0,249897.0,573465.0
477717,Maxime Estève,Burnley,existing,477717.0,,1250443.0
235865,Michel Aebischer,Pisa,existing,235865.0,327702.0,792756.0
512843,Nicolai Remberg,Hamburger SV,existing,512843.0,485118.0,1188890.0
474094,Nicolás Capaldo,Hamburger SV,existing,474094.0,369480.0,1018564.0
620851,Otto Stange,Hamburger SV,existing,620851.0,508286.0,1576487.0
233325,Ragnar Ache,Koln,existing,233325.0,335756.0,772193.0
477539,Ransford Königsdörffer,Hamburger SV,existing,477539.0,389899.0,1121170.0
512229,Rav van den Berg,Koln,existing,512229.0,,1199391.0
490190,Rayan Philippe,Hamburger SV,existing,490190.0,380644.0,1079892.0
449411,Sander Tangvik,Hamburger SV,existing,,,1145714.0
649235,Saïd El Mala,Koln,existing,649235.0,517371.0,1613676.0
629020,Shafiq Nandja,Hamburger SV,existing,629020.0,,1804634.0
449918,Tom Krauß,Koln,existing,449918.0,367182.0,992060.0
166028,Yussuf Poulsen,Hamburger SV,existing,166028.0,132943.0,266527.0
479342,Ísak Jóhannesson,Koln,existing,479342.0,406062.0,1000428.0
new_2026_221,Adam Daghim,TSG 1899 Hoffenheim,new_linked_full,575415.0,514499.0,1353000.0
new_2026_222,Adam Hlozek,TSG 1899 Hoffenheim,new_linked_full,467008.0,399385.0,969870.0
new_2026_20,Afonso Moreira,Bayer 04 Leverkusen,new_linked_full,551191.0,478033.0,1367047.0
new_2026_213,Albert Grønbæk,Hamburger SV,new_linked_full,494779.0,424809.0,1133381.0
new_2026_223,Albian Hajdari,TSG 1899 Hoffenheim,new_linked_full,514116.0,402697.0,1186015.0
new_2026_21,Aleix García,Bayer 04 Leverkusen,new_linked_full,178871.0,280663.0,642551.0
new_2026_343,Aljoscha Kemlein,1. FC Union Berlin,new_linked_full,575397.0,455785.0,1403332.0
new_2026_114,Amos Pieper,SV Werder Bremen,new_linked_full,436217.0,368176.0,765998.0
new_2026_224,Andrej Kramaric,TSG 1899 Hoffenheim,new_linked_full,68582.0,75217.0,173461.0
new_2026_344,András Schäfer,1. FC Union Berlin,new_linked_full,457734.0,369687.0,836726.0
new_2026_324,Angelo Stiller,VfB Stuttgart,new_linked_full,437922.0,407476.0,1071186.0
new_2026_247,Anthony Caci,1. FSV Mainz 05,new_linked_full,232240.0,321145.0,771401.0
new_2026_0,Anton Kade,FC Augsburg,new_linked_full,513432.0,431281.0,1310103.0
new_2026_287,Antonio Nusa,RB Leipzig,new_linked_full,538980.0,416030.0,1248482.0
new_2026_288,Arthur Vermeeren,RB Leipzig,new_linked_full,578612.0,445430.0,1387389.0
new_2026_134,Ayoube Amaimouni-Echghouyab,Eintracht Frankfurt,new_linked_full,702409.0,605380.0,1680173.0
new_2026_225,Bambasé Conté,TSG 1899 Hoffenheim,new_linked_full,513565.0,433100.0,1338957.0
new_2026_289,Benjamin Henrichs,RB Leipzig,new_linked_full,180167.0,296769.0,681383.0
new_2026_226,Bernardo,TSG 1899 Hoffenheim,new_linked_full,209362.0,302588.0,637716.0
new_2026_327,Bilal El Khannouss,VfB Stuttgart,new_linked_full,513527.0,433572.0,1340895.0
new_2026_214,Bilal Nadir,Hamburger SV,new_linked_full,546178.0,422240.0,1283407.0
new_2026_290,Brajan Gruda,RB Leipzig,new_linked_full,513433.0,471784.0,1430151.0
new_2026_1,Calvin Brackelmann,FC Augsburg,new_linked_full,585070.0,445983.0,1300329.0
new_2026_135,Can Uzun,Eintracht Frankfurt,new_linked_full,554087.0,467776.0,1367924.0
new_2026_291,Castello Lukeba,RB Leipzig,new_linked_full,468657.0,415172.0,1253852.0
new_2026_115,Cedric Itten,SV Werder Bremen,new_linked_full,198383.0,312582.0,726956.0
new_2026_328,Chema Andrés,VfB Stuttgart,new_linked_full,592984.0,539663.0,1586552.0
new_2026_2,Chrislain Matsima,FC Augsburg,new_linked_full,465524.0,398372.0,1178512.0
new_2026_23,Christian Kofane,Bayer 04 Leverkusen,new_linked_full,683068.0,550465.0,1705081.0
new_2026_292,Christopher Nkunku,RB Leipzig,new_linked_full,213198.0,300945.0,704523.0
new_2026_116,Chuki,SV Werder Bremen,new_linked_full,587669.0,506115.0,1315344.0
new_2026_293,Conrad Harder,RB Leipzig,new_linked_full,621481.0,538807.0,1482294.0
new_2026_196,Cyriaque Irié,Sport-Club Freiburg,new_linked_full,628884.0,547622.0,1526221.0
new_2026_59,Daniel Svensson,Borussia Dortmund,new_linked_full,521052.0,418584.0,1209228.0
new_2026_248,Danny da Costa,1. FSV Mainz 05,new_linked_full,92295.0,94934.0,240537.0
new_2026_117,Dariusz Stalmach,SV Werder Bremen,new_linked_full,545189.0,552277.0,1276988.0
new_2026_294,David Raum,RB Leipzig,new_linked_full,243309.0,330538.0,806669.0
new_2026_329,Deniz Undav,VfB Stuttgart,new_linked_full,450434.0,357091.0,661519.0
new_2026_346,Derrick Köhn,1. FC Union Berlin,new_linked_full,429524.0,400010.0,860260.0
new_2026_197,Derry Scherhant,Sport-Club Freiburg,new_linked_full,587831.0,444289.0,1302666.0
new_2026_249,Dominik Kohr,1. FSV Mainz 05,new_linked_full,114549.0,110165.0,303905.0
new_2026_330,Dzenan Pejcinovic,VfB Stuttgart,new_linked_full,522019.0,444298.0,1366602.0
new_2026_24,Edmond Tapsoba,Bayer 04 Leverkusen,new_linked_full,424969.0,369446.0,789914.0
new_2026_136,Elias Baum,Eintracht Frankfurt,new_linked_full,547216.0,503382.0,1421821.0
new_2026_240,Ellyes Skhiri,1. FC Köln,new_linked_full,195430.0,238903.0,574642.0
new_2026_347,Emmanuel Latte Lath,1. FC Union Berlin,new_linked_full,233581.0,323242.0,783585.0
new_2026_25,Equi Fernández,Bayer 04 Leverkusen,new_linked_full,481237.0,411433.0,1199959.0
new_2026_118,Eren Dinkçi,SV Werder Bremen,new_linked_full,513417.0,408357.0,1146376.0
new_2026_331,Ermedin Demirovic,VfB Stuttgart,new_linked_full,429256.0,351339.0,840241.0
new_2026_295,Ezechiel Banzuzi,RB Leipzig,new_linked_full,558522.0,485929.0,1310001.0
new_2026_3,Fabian Rieder,FC Augsburg,new_linked_full,449787.0,404193.0,1161211.0
new_2026_250,Fabio Gruber,1. FSV Mainz 05,new_linked_full,515169.0,552278.0,1362417.0
new_2026_26,Facundo Medina,Bayer 04 Leverkusen,new_linked_full,224868.0,330672.0,812652.0
