source,source_native_id,source_name,canonical_player_id,matched_to_master
opta,575415,Adam Daghim,opta_new_575415,False
opta,467008,Adam Hlozek,opta_new_467008,False
opta,465676,Adil Aouchiche,opta_new_465676,False
opta,551191,Afonso Moreira,opta_new_551191,False
opta,494779,Albert Grønbæk,opta_new_494779,False
opta,437742,Albert Sambi Lokonga,437742,True
opta,514116,Albian Hajdari,opta_new_514116,False
opta,178871,Aleix García,opta_new_178871,False
opta,515675,Aleksandar Pavlovic,opta_new_515675,False
opta,226858,Alessio Castro-Montes,226858,True
opta,575397,Aljoscha Kemlein,opta_new_575397,False
opta,225059,Alphonso Davies,opta_new_225059,False
opta,213459,Amara Condé,opta_new_213459,False
opta,487968,Ameen Al-Dakhil,opta_new_487968,False
opta,436217,Amos Pieper,opta_new_436217,False
opta,68582,Andrej Kramaric,opta_new_68582,False
opta,620473,Andrija Maksimovic,opta_new_620473,False
opta,457734,András Schäfer,opta_new_457734,False
opta,437922,Angelo Stiller,opta_new_437922,False
opta,232240,Anthony Caci,opta_new_232240,False
opta,513432,Anton Kade,opta_new_513432,False
opta,538980,Antonio Nusa,opta_new_538980,False
opta,505201,Arijon Ibrahimovic,opta_new_505201,False
opta,566438,Arthur,opta_new_566438,False
opta,578612,Arthur Vermeeren,opta_new_578612,False
opta,428181,Atakan Karazor,opta_new_428181,False
opta,702409,Ayoube Amaimouni-Echghouyab,opta_new_702409,False
opta,492949,Badredine Bouanani,opta_new_492949,False
opta,228316,Bakery Jatta,228316,True
opta,513565,Bambasé Conté,opta_new_513565,False
opta,704138,Bara Sapoko Ndiaye,opta_new_704138,False
opta,180167,Benjamin Henrichs,opta_new_180167,False
opta,547313,Berkay Yilmaz,opta_new_547313,False
opta,209362,Bernardo,opta_new_209362,False
opta,513527,Bilal El Khannouss,opta_new_513527,False
opta,546178,Bilal Nadir,opta_new_546178,False
opta,513433,Brajan Gruda,opta_new_513433,False
opta,695474,Cajetan Lenz,opta_new_695474,False
opta,585070,Calvin Brackelmann,opta_new_585070,False
opta,554087,Can Uzun,opta_new_554087,False
opta,468657,Castello Lukeba,opta_new_468657,False
opta,198383,Cedric Itten,opta_new_198383,False
opta,592984,Chema Andrés,opta_new_592984,False
opta,465524,Chrislain Matsima,opta_new_465524,False
opta,119382,Christian Günter,opta_new_119382,False
opta,683068,Christian Kofane,opta_new_683068,False
opta,213198,Christopher Nkunku,opta_new_213198,False
opta,62422,Christopher Trimmel,opta_new_62422,False
opta,587669,Chuki,opta_new_587669,False
opta,629188,Clemens Lippmann,opta_new_629188,False
opta,549407,Cole Campbell,opta_new_549407,False
opta,621481,Conrad Harder,opta_new_621481,False
opta,628884,Cyriaque Irié,opta_new_628884,False
opta,209293,Daiki Hashioka,opta_new_209293,False
opta,584649,Daniel Elfadli,584649,True
opta,141021,Daniel Heuer Fernandes,141021,True
opta,521052,Daniel Svensson,opta_new_521052,False
opta,92295,Danny da Costa,opta_new_92295,False
opta,545189,Dariusz Stalmach,opta_new_545189,False
opta,493326,David Herold,opta_new_493326,False
opta,589018,David Mokwa,opta_new_589018,False
opta,243309,David Raum,opta_new_243309,False
opta,199661,Dayot Upamecano,opta_new_199661,False
opta,429631,Dejan Ljubicic,opta_new_429631,False
opta,450434,Deniz Undav,opta_new_450434,False
opta,640659,Deniz Zeitler,opta_new_640659,False
opta,429524,Derrick Köhn,opta_new_429524,False
opta,587831,Derry Scherhant,opta_new_587831,False
opta,114549,Dominik Kohr,opta_new_114549,False
opta,522019,Dzenan Pejcinovic,opta_new_522019,False
opta,42544,Edin Dzeko,opta_new_42544,False
opta,424969,Edmond Tapsoba,opta_new_424969,False
opta,547216,Elias Baum,opta_new_547216,False
opta,195430,Ellyes Skhiri,opta_new_195430,False
opta,233581,Emmanuel Latte Lath,opta_new_233581,False
opta,543919,Enzo Leopold,opta_new_543919,False
opta,481237,Equi Fernández,opta_new_481237,False
opta,513417,Eren Dinkçi,opta_new_513417,False
opta,429256,Ermedin Demirovic,opta_new_429256,False
opta,558522,Ezechiel Banzuzi,opta_new_558522,False
opta,179612,Fabian Bredlow,opta_new_179612,False
opta,449787,Fabian Rieder,opta_new_449787,False
opta,515169,Fabio Gruber,opta_new_515169,False
opta,224868,Facundo Medina,opta_new_224868,False
opta,573379,Farès Chaïbi,opta_new_573379,False
opta,524093,Felix Keidel,opta_new_524093,False
opta,219265,Felix Nmecha,opta_new_219265,False
opta,221693,Felix Uduokhai,opta_new_221693,False
opta,571642,Filippo Mane,opta_new_571642,False
opta,218361,Finn Dahmen,opta_new_218361,False
opta,554088,Finn Jeltsch,opta_new_554088,False
opta,205823,Florian Le Joncour,opta_new_205823,False
opta,593262,Francis Onyeka,opta_new_593262,False
opta,174655,Franck Honorat,opta_new_174655,False
opta,449988,Fábio Silva,opta_new_449988,False
opta,508347,Gabriel Vidovic,opta_new_508347,False
opta,477510,Giannis Konstantelias,opta_new_477510,False
opta,229670,Gideon Mensah,opta_new_229670,False
opta,185513,Gregor Kobel,opta_new_185513,False
opta,209184,Grischa Prömel,opta_new_209184,False
opta,437757,Han-Noah Massengo,opta_new_437757,False
opta,78830,Harry Kane,opta_new_78830,False
opta,240737,Hasan Kuruçay,opta_new_240737,False
opta,519073,Hennes Behrens,opta_new_519073,False
opta,248811,Hiroki Ito,opta_new_248811,False
opta,551048,Hugo Bolin,opta_new_551048,False
opta,570052,Ibrahim Maza,opta_new_570052,False
opta,513431,Igor Matanovic,opta_new_513431,False
