playerId,playerName,teamId,h_a,matchId,tackleWonTotal,challengeLost,tackleTotalAttempted
44120.0,Pierre-Emerick Aubameyang,59,a,1993913,0,0,0
100881.0,Ximo Navarro,59,a,1993913,2,3,5
141497.0,Einar Galilea,69,h,1993913,0,0,0
261509.0,Alfonso Herrero,69,h,1993913,0,1,1
357786.0,Juan Cruz,69,h,1993913,0,0,0
366204.0,Joaquín Muñoz,69,h,1993913,2,1,3
391317.0,Julen Lobete,69,h,1993913,0,0,0
393081.0,Giacomo Quagliata,59,a,1993913,1,4,5
409130.0,Mario Soriano,59,a,1993913,0,0,0
423420.0,Leo Román,59,a,1993913,0,0,0
428620.0,Luismi Cruz,59,a,1993913,0,0,0
431768.0,Lucas Noubi,59,a,1993913,3,0,3
447938.0,Carlos Puga,69,h,1993913,3,1,4
448009.0,Diego Villares,59,a,1993913,1,1,2
448011.0,Yeremay Hernández,59,a,1993913,0,1,1
448041.0,Adrià Alti,59,a,1993913,0,0,0
448273.0,Miguel Loureiro,59,a,1993913,1,2,3
448289.0,Ramón Enríquez,69,h,1993913,0,0,0
448292.0,Haitam Abaida,69,h,1993913,0,0,0
448294.0,Dani Lorenzo,69,h,1993913,1,1,2
448303.0,David Larrubia,69,h,1993913,3,0,3
461527.0,Carlos Dotor,69,h,1993913,1,0,1
470032.0,Lorenzo Amatucci,59,a,1993913,2,2,4
471958.0,Rafa Rodríguez,69,h,1993913,0,0,0
507361.0,David Mella,59,a,1993913,0,1,1
508035.0,Izan Merino,69,h,1993913,1,1,2
508349.0,Rafita,69,h,1993913,2,0,2
511043.0,Ángel Recio,69,h,1993913,0,1,1
527113.0,Jonathan Asp Jensen,59,a,1993913,0,1,1
541868.0,Chupe,69,h,1993913,1,0,1
598590.0,Bil Nsongo,59,a,1993913,0,0,0
631884.0,Bright Ede,59,a,1993913,0,1,1
