Player,Team within selected timeframe,Age,Minutes played,Possessions won per 90,Defensive duels per 90,Defensive duels won %,Aerial duels per 90,Aerial duels won %,Sliding tackles per 90,Sliding tackles (PAdj),Shots blocked per 90,Interceptions per 90,Interceptions (PAdj),Fouls per 90,Yellow cards per 90,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals per 90,xG per 90,Headed goals per 90,Shots per 90,Shots on target %,Goal conversion %,Assists per 90,Crosses per 90,Cross accuracy %,Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to box per 90,Dribbles attempted per 90,Dribble success rate %,Offensive duels per 90,Offensive duels won %,Touches in box per 90,Progressive carries per 90,Accelerations per 90,Passes received per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,Pass completion %,Forward passes per 90,Forward pass completion %,Backward passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short passes per 90,Short pass completion %,Long passes per 90,Long pass accuracy %,Average pass length (m),"Average long pass length, m",xA per 90,Shot assists per 90,Pre-assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,Pass completion (to final third) %,Passes to penalty box per 90,Pass completion (to penalty box) %,Through passes per 90,Through pass completion %,Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,Progressive pass accuracy %,Goals conceded,Goals conceded per 90,Shots conceded,Shots conceded per 90,Clean sheets,Save percentage %,xG conceded,xG conceded per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,Direct free kicks oT %,Corners per 90,Penalties attempted,Penalty success rate %,Matches played,Duels per 90,Duels won %,Possession +/-,Forward pass ratio,xA per 100 passes,Chance creation ratio,"Inaccurate passes, %",Goals + Assists per 90,NPG+A per 90,xG+xA per 90,xG/Shot,Goals - xG per 90,Goals per xG,Assists - xA per 90,Assists per xA,Successful dribbles per 90,Shots on target per 90,Accurate crosses per 90,Offensive duels won per 90,Defensive duels won per 90,Aerial duels won per 90,Passes completed per 90,Forward passes completed per 90,Short passes completed per 90,Long passes completed per 90,Accurate passes to final third per 90,Accurate passes to penalty box per 90,Through passes completed per 90,Progressive passes completed per 90,Misplaced passes per 90,Saves per 90,Possessions lost per 90,Possessions won - lost per 90,Progressive actions per 90,Duels won per 90,Minutes per match,Backward pass ratio,Penalties scored,npxG per 90,npxG/Shot,npxG+xA per 90,Touches per 90,Progressive action rate,Progressive passes (PAdj),Ball-carrying frequency,xG per 100 touches,Shot frequency,Dribbles per 100 touches,Goals per 100 touches,position
S. Luperto,Cremonese,29,3259,6.82,5.33,63.21,2.68,54.64,0.06,0.07,0.44,3.4,4.13,0.83,0.11,0.0,0.5,0.03,0.03,0.02,0.03,0.33,58.33,8.333,0.03,0.28,40.0,0.25,44.44,0.03,0.0,0.08,0.17,100.0,0.94,64.71,0.39,0.66,0.08,29.94,0.22,0.75,43.3,87.82,17.26,76.0,3.42,95.97,17.76,96.27,38.17,93.34,4.86,47.16,19.72,37.08,0.03,0.14,0.0,0.0,0.03,100.0,0.14,4.36,65.82,0.66,37.5,0.33,16.67,0.19,0.11,6.1,66.52,0,,0,,0,0.0,0.0,0.0,,,2.21,,,0.03,0.0,0.0,0.0,0,0.0,34,10.49,60.79,-9.65,0.4,0.07,0.32,12.18,0.06,0.06,0.05,0.06,0.01,1.5,0.0,1.0,0.17,0.19,0.11,0.61,3.37,1.46,38.03,13.12,35.63,2.29,2.87,0.25,0.06,4.06,5.27,,5.61,1.21,6.76,6.38,95.85,0.08,0,0.02,0.06,0.05,36.76,18.39,16.59,1.8,0.05,0.9,0.46,0.08,CB
L. Kelly,Juventus,27,3250,7.42,5.29,71.73,4.49,50.0,0.14,0.2,0.47,3.49,5.09,1.19,0.11,0.0,0.58,0.03,0.03,0.03,0.0,0.42,20.0,6.667,0.0,0.39,14.29,0.3,9.09,0.08,33.33,0.06,0.5,88.89,2.19,55.7,0.78,1.61,0.25,37.99,0.55,0.55,53.11,89.73,18.75,79.32,4.62,97.6,23.54,96.82,48.21,94.08,4.51,49.69,20.83,44.15,0.03,0.14,0.03,0.0,0.0,0.0,0.08,7.37,71.05,0.66,25.0,0.5,33.33,0.19,0.06,7.95,76.66,0,,0,,0,0.0,0.0,0.0,,,2.05,,,0.0,0.0,0.0,0.0,0,0.0,35,14.37,59.54,-7.51,0.35,0.06,0.15,10.27,0.03,0.03,0.06,0.07,0.0,1.0,-0.03,0.0,0.44,0.08,0.06,1.22,3.79,2.24,47.66,14.87,45.36,2.24,5.24,0.16,0.17,6.09,5.45,,6.42,1.0,9.56,8.56,92.86,0.09,0,0.03,0.07,0.06,45.41,21.05,17.51,3.55,0.07,0.92,1.1,0.07,CB
E. Del Prato,Parma,26,3211,7.9,5.91,63.98,2.52,47.78,0.06,0.07,0.48,4.06,4.76,0.42,0.14,0.0,0.62,0.06,0.06,0.07,0.03,0.45,56.25,12.5,0.0,0.64,39.13,0.03,0.0,0.62,40.91,0.03,0.2,57.14,0.9,37.5,0.95,0.42,0.11,23.71,0.53,0.25,31.17,87.59,12.67,80.97,4.04,97.92,10.79,91.95,26.88,93.64,3.7,50.76,19.73,37.03,0.02,0.2,0.0,0.0,0.0,0.0,0.06,3.56,71.65,0.73,46.15,0.14,40.0,0.22,0.25,5.33,77.37,0,,0,,0,0.0,0.0,0.0,,,1.09,,,0.0,0.0,0.0,0.0,0,0.0,35,10.43,55.91,-11.28,0.41,0.06,0.19,12.41,0.06,0.06,0.09,0.16,-0.01,0.86,-0.02,0.0,0.11,0.25,0.25,0.34,3.78,1.2,27.3,10.26,25.17,1.88,2.55,0.34,0.06,4.12,3.87,,4.43,3.47,5.75,5.83,91.74,0.13,0,0.07,0.16,0.09,31.61,18.19,16.86,1.33,0.22,1.42,0.63,0.19,CB
O. Solet,Udinese,26,3210,8.5,5.44,64.95,3.14,50.0,0.28,0.36,0.5,4.68,6.09,0.87,0.03,0.0,1.57,0.08,0.06,0.1,0.0,0.87,22.58,9.677,0.03,0.56,25.0,0.42,26.67,0.14,20.0,0.08,1.74,59.68,4.51,49.07,1.04,2.1,0.17,38.64,0.42,0.84,54.87,89.01,20.3,78.59,4.54,96.3,23.86,96.47,49.85,92.8,4.6,53.66,20.48,35.0,0.04,0.36,0.06,0.03,0.34,58.33,0.22,6.62,74.58,1.85,53.03,0.79,39.29,0.93,0.14,8.61,72.31,0,,0,,0,0.0,0.0,0.0,,,2.1,,,0.0,0.0,0.0,0.0,1,100.0,35,14.86,56.04,-8.98,0.37,0.07,0.4,10.99,0.11,0.09,0.14,0.11,-0.02,0.8,-0.01,0.75,1.04,0.2,0.14,2.21,3.53,1.57,48.84,15.95,46.26,2.47,4.94,0.98,0.31,6.23,6.03,,8.33,0.17,10.71,8.33,91.71,0.08,1,0.08,0.09,0.12,47.14,22.72,18.26,4.45,0.21,1.85,3.69,0.17,CB
M. Pongračić,Fiorentina,28,3196,9.26,7.07,62.95,3.07,46.79,0.0,0.0,0.7,4.82,6.58,1.91,0.34,0.0,0.28,0.0,0.0,0.01,0.0,0.11,25.0,0.0,0.0,0.14,20.0,0.03,0.0,0.08,33.33,0.03,0.54,42.11,2.06,50.68,0.28,1.18,0.06,35.43,0.31,0.59,50.94,92.04,17.37,85.58,3.07,94.5,25.94,96.74,48.38,94.3,2.42,51.16,20.24,27.82,0.01,0.08,0.0,0.0,0.06,0.0,0.03,4.28,82.89,0.34,41.67,0.23,50.0,0.17,0.06,6.45,65.5,0,,0,,0,0.0,0.0,0.0,,,2.03,,,0.0,0.0,0.0,0.0,0,0.0,35,15.18,57.51,-4.66,0.34,0.02,0.06,7.96,0.0,0.0,0.02,0.09,-0.01,0.0,-0.01,0.0,0.23,0.03,0.03,1.04,4.45,1.44,46.89,14.87,45.62,1.24,3.55,0.14,0.12,4.22,4.05,,5.07,4.19,7.63,8.73,91.31,0.06,0,0.01,0.09,0.02,44.69,17.07,14.43,2.64,0.02,0.25,1.21,0.0,CB
S. Pavlović,Milan,25,3131,7.16,5.58,72.68,4.11,54.55,0.09,0.11,0.4,3.02,3.83,0.89,0.11,0.0,1.01,0.14,0.14,0.13,0.06,0.69,25.0,20.833,0.0,0.57,45.0,0.57,45.0,0.0,0.0,0.06,0.89,61.29,3.13,44.95,1.26,2.33,0.66,38.37,0.72,0.8,51.14,90.44,19.46,82.27,5.03,98.29,18.94,96.97,47.17,93.91,3.39,50.0,18.44,34.99,0.01,0.23,0.03,0.03,0.03,100.0,0.06,6.41,80.27,1.01,40.0,0.32,36.36,0.26,0.23,7.27,72.33,0,,0,,0,0.0,0.0,0.0,,,1.84,,,0.03,0.03,0.0,0.0,0,0.0,34,14.86,58.99,-8.3,0.38,0.02,0.12,9.56,0.14,0.14,0.14,0.19,0.01,1.08,-0.01,0.0,0.55,0.17,0.26,1.41,4.06,2.24,46.25,16.01,44.3,1.7,5.15,0.4,0.12,5.26,4.89,,6.61,0.55,9.6,8.77,92.09,0.1,0,0.13,0.19,0.14,45.53,21.08,15.97,5.12,0.29,1.52,1.95,0.31,CB
T. Muharemović,Sassuolo,23,3089,9.61,4.46,63.4,3.38,66.38,0.44,0.51,0.87,6.35,7.44,0.76,0.2,0.0,0.38,0.06,0.06,0.04,0.06,0.5,35.29,11.765,0.03,0.06,50.0,0.03,0.0,0.03,100.0,0.03,0.17,83.33,0.79,44.44,0.67,0.5,0.03,33.54,0.26,0.58,47.75,85.91,20.25,72.95,2.8,92.71,19.67,95.7,41.37,92.46,6.32,43.32,20.86,42.05,0.0,0.06,0.0,0.06,0.03,100.0,0.03,5.97,58.54,1.05,27.78,0.87,26.67,0.32,0.03,7.92,63.97,0,,0,,0,0.0,0.0,0.0,,,1.84,,,0.03,0.03,0.0,0.0,0,0.0,32,10.75,60.98,-10.1,0.42,0.0,0.06,14.09,0.09,0.09,0.04,0.08,0.02,1.5,0.03,inf,0.14,0.18,0.03,0.35,2.83,2.24,41.02,14.77,38.25,2.74,3.49,0.29,0.23,5.07,6.73,,7.17,2.44,8.42,6.56,96.53,0.06,0,0.04,0.08,0.04,43.15,19.51,18.35,1.16,0.09,1.16,0.39,0.14,CB
M. Akanji,Internazionale,30,3041,7.96,5.92,72.0,2.93,54.55,0.06,0.09,0.47,3.64,5.4,0.71,0.12,0.0,0.47,0.06,0.06,0.1,0.06,0.68,26.09,8.696,0.0,0.27,44.44,0.03,0.0,0.21,57.14,0.0,0.15,60.0,1.01,44.12,0.89,1.42,0.06,45.75,0.65,0.53,61.09,92.49,18.88,82.45,5.3,96.09,28.47,98.34,57.3,94.52,3.52,63.03,18.15,31.3,0.0,0.12,0.03,0.06,0.15,60.0,0.03,6.54,81.9,0.89,60.0,0.47,43.75,0.47,0.15,7.58,75.78,0,,0,,0,0.0,0.0,0.0,,,2.28,,,0.0,0.0,0.0,0.0,0,0.0,33,12.73,65.35,-3.35,0.31,0.0,0.05,7.51,0.06,0.06,0.1,0.15,-0.04,0.6,0.0,,0.09,0.18,0.12,0.45,4.26,1.6,56.5,15.57,54.16,2.22,5.36,0.53,0.21,5.74,4.59,,5.15,2.81,9.0,8.32,92.15,0.09,0,0.1,0.15,0.1,53.71,16.76,14.11,2.64,0.19,1.27,0.28,0.11,CB
Jacobo Ramón,Como,21,2974,6.48,4.33,62.94,5.51,60.44,0.42,0.71,0.51,3.33,5.58,1.0,0.33,0.03,0.51,0.06,0.06,0.15,0.03,0.94,25.81,6.452,0.0,0.33,36.36,0.0,0.0,0.3,30.0,0.06,0.24,62.5,1.18,35.9,1.3,1.3,0.12,46.45,0.61,0.36,61.67,92.35,23.54,86.25,3.48,99.13,26.39,96.79,57.47,94.89,3.93,58.46,18.82,39.13,0.03,0.21,0.03,0.03,0.0,0.0,0.09,6.9,82.02,0.57,42.11,0.18,16.67,0.27,0.12,8.41,78.42,0,,0,,0,0.0,0.0,0.0,,,2.18,,,0.0,0.0,0.0,0.0,0,0.0,32,12.89,57.98,-4.64,0.38,0.05,0.15,7.65,0.06,0.06,0.18,0.16,-0.09,0.4,-0.03,0.0,0.15,0.24,0.12,0.42,2.73,3.33,56.95,20.3,54.53,2.3,5.66,0.24,0.03,6.6,4.72,,5.47,1.01,9.71,7.47,92.94,0.06,0,0.15,0.16,0.18,52.93,18.34,15.89,2.46,0.28,1.78,0.45,0.11,CB
A. Circati,Parma,22,2907,9.04,5.2,75.0,4.12,63.91,0.28,0.33,0.96,4.86,5.74,0.9,0.19,0.0,0.12,0.03,0.03,0.05,0.0,0.22,14.29,14.286,0.0,0.19,16.67,0.03,0.0,0.15,20.0,0.0,0.19,33.33,1.49,35.42,0.28,0.59,0.0,30.93,0.25,0.46,43.96,87.54,17.03,77.45,3.19,93.2,19.41,96.33,40.15,91.67,3.62,45.3,20.44,37.95,0.01,0.28,0.0,0.0,0.0,0.0,0.09,5.23,71.6,0.71,17.39,0.34,18.18,0.12,0.03,7.62,67.07,0,,0,,0,0.0,0.0,0.0,,,2.14,,,0.0,0.0,0.0,0.0,0,0.0,31,12.48,63.28,-10.06,0.39,0.02,0.2,12.46,0.03,0.03,0.06,0.23,-0.02,0.6,-0.01,0.0,0.06,0.03,0.03,0.53,3.9,2.63,38.48,13.19,36.81,1.64,3.74,0.12,0.06,5.11,5.48,,6.44,2.6,8.21,7.9,93.77,0.07,0,0.05,0.23,0.06,39.97,20.54,19.06,1.48,0.13,0.55,0.48,0.08,CB
