player,attack_player_id,attack_apps,attack_mins_played,attack_goals,attack_xg,attack_goals_vs_xg,attack_shots,attack_shots_on_target,attack_shot_conv,attack_xg_per_shot,attack_first_name,attack_last_name,attack_date_of_birth,attack_age,attack_team_id,attack_shirt_number,attack_squad_position,attack_squad_position_detailed,attack_player_uuid,attack_team_uuid,attack_contestantName,attack_contestantClubName,attack_contestantShortName,attack_contestantCode,carries_carries,carries_carry_distance,carries_progressive_carries,carries_progressive_distance,carries_shot_ending,carries_goal_ending,carries_chance_ending,carries_assist_ending,carries_dist_per_carry,carries_dist_per_progressive_carry,defending_tackles,defending_interceptions,defending_recoveries,defending_blocks,defending_clearances,defending_ground_duels,defending_ground_duels_won,defending_ground_duel_perc,defending_aerial_duels,defending_aerial_duels_won,defending_aerial_duel_perc,goalkeeping_team_mins,goalkeeping_team_mins_perc,goalkeeping_ogs,goalkeeping_goals_conceded,goalkeeping_saves_made,goalkeeping_save_perc,goalkeeping_goals_prevented,goalkeeping_goals_prevented_rate,goalkeeping_xgot_conceded,possession_chanceCreation_player_id,possession_chanceCreation_mins_played,possession_chanceCreation_apps,possession_chanceCreation_chances_created,possession_chanceCreation_op_chances_created,possession_chanceCreation_chances_per_100_pass,possession_chanceCreation_chances_sp_op_ratio,possession_chanceCreation_xa,possession_chanceCreation_op_xa,possession_chanceCreation_assists,possession_chanceCreation_op_assists,possession_chanceCreation_first_name,possession_chanceCreation_last_name,possession_chanceCreation_date_of_birth,possession_chanceCreation_age,possession_chanceCreation_team_id,possession_chanceCreation_shirt_number,possession_chanceCreation_squad_position,possession_chanceCreation_squad_position_detailed,possession_chanceCreation_player_uuid,possession_chanceCreation_team_uuid,possession_chanceCreation_contestantName,possession_chanceCreation_contestantClubName,possession_chanceCreation_contestantShortName,possession_chanceCreation_contestantCode,possession_passing_player_id,possession_passing_mins_played,possession_passing_apps,possession_passing_passes,possession_passing_successful_passes,possession_passing_pass_perc,possession_passing_total_final_third_passes,possession_passing_successful_final_third_passes,possession_passing_ft_pass_perc,possession_passing_op_crosses,possession_passing_successful_op_crosses,possession_passing_cross_perc,possession_passing_through_balls,possession_passing_successful_through_balls,possession_passing_through_ball_perc,possession_passing_first_name,possession_passing_last_name,possession_passing_date_of_birth,possession_passing_age,possession_passing_team_id,possession_passing_shirt_number,possession_passing_squad_position,possession_passing_squad_position_detailed,possession_passing_player_uuid,possession_passing_team_uuid,possession_passing_contestantName,possession_passing_contestantClubName,possession_passing_contestantShortName,possession_passing_contestantCode,opta_player_id,opta_player_uuid,opta_team_id,opta_team_uuid
Matheo Raab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,50.0,0.0,3.0,0.0,0.0,-1.25,0.33,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229511,9sexp3trzdm6h50dk2y9hrjl5,816,a8d2gb2nag8fy0itbuxmcibh2
Mathieu Nguefack,648805.0,2.0,116.0,0.0,0.1,-0.1,2.0,0.0,0.0,0.05,Mathieu,Nguefack,2008-05-14,18.34,683.0,34.0,Midfielder,Central Midfielder,8h8r0si3jx6q41d13qknbhdlg,go76xxm0xyfgqt1h6tcrtimm,Borussia VfL Mönchengladbach,Borussia M'gladbach,M'gladbach,BMG,16.0,140.721,7.0,37.38,1.0,0.0,0.0,0.0,8.795,5.34,1.0,1.0,10.0,0.0,2.0,10.0,4.0,40.0,2.0,2.0,100.0,,,,,,,,,,648805.0,116.0,2.0,3.0,3.0,5.45,0.0,0.059,0.059,0.0,0.0,Mathieu,Nguefack,2008-05-14,18.34,683.0,34.0,Midfielder,Central Midfielder,8h8r0si3jx6q41d13qknbhdlg,go76xxm0xyfgqt1h6tcrtimm,Borussia VfL Mönchengladbach,Borussia M'gladbach,M'gladbach,BMG,648805.0,116.0,2.0,55.0,50.0,90.91,15.0,14.0,93.33,1.0,0.0,0.0,0.0,0.0,0.0,Mathieu,Nguefack,2008-05-14,18.34,683.0,34.0,Midfielder,Central Midfielder,8h8r0si3jx6q41d13qknbhdlg,go76xxm0xyfgqt1h6tcrtimm,Borussia VfL Mönchengladbach,Borussia M'gladbach,M'gladbach,BMG,648805,8h8r0si3jx6q41d13qknbhdlg,683,go76xxm0xyfgqt1h6tcrtimm
Mathis Albert,609623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mathis,Albert,2009-05-21,17.32,157.0,41.0,Forward,Winger,609623,dt4pinj0vw0t0cvz7za6mhmzy,BV Borussia 09 Dortmund,Borussia Dortmund,Dortmund,BVB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,609623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mathis,Albert,2009-05-21,17.32,157.0,41.0,Forward,Winger,609623,dt4pinj0vw0t0cvz7za6mhmzy,BV Borussia 09 Dortmund,Borussia Dortmund,Dortmund,BVB,609623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mathis,Albert,2009-05-21,17.32,157.0,41.0,Forward,Winger,609623,dt4pinj0vw0t0cvz7za6mhmzy,BV Borussia 09 Dortmund,Borussia Dortmund,Dortmund,BVB,609623,609623,157,dt4pinj0vw0t0cvz7za6mhmzy
Mats Rots,576750.0,2.0,93.0,0.0,0.04,-0.04,1.0,0.0,0.0,0.04,Mats,Rots,2006-03-11,20.52,1902.0,39.0,Defender,Full Back,5r47vtvu418kae5j2rpv6w2dw,4l9mrqzmajz5crzlz50mtbt6x,TSG 1899 Hoffenheim,Hoffenheim,Hoffenheim,TSG,16.0,243.185,9.0,190.89,0.0,0.0,1.0,0.0,15.199,21.21,3.0,1.0,5.0,1.0,3.0,5.0,4.0,80.0,2.0,1.0,50.0,,,,,,,,,,576750.0,93.0,2.0,3.0,1.0,1.56,66.67,0.317,0.222,0.0,0.0,Mats,Rots,2006-03-11,20.52,1902.0,39.0,Defender,Full Back,5r47vtvu418kae5j2rpv6w2dw,4l9mrqzmajz5crzlz50mtbt6x,TSG 1899 Hoffenheim,Hoffenheim,Hoffenheim,TSG,576750.0,93.0,2.0,64.0,49.0,76.56,22.0,13.0,59.09,3.0,1.0,33.33,0.0,0.0,0.0,Mats,Rots,2006-03-11,20.52,1902.0,39.0,Defender,Full Back,5r47vtvu418kae5j2rpv6w2dw,4l9mrqzmajz5crzlz50mtbt6x,TSG 1899 Hoffenheim,Hoffenheim,Hoffenheim,TSG,576750,5r47vtvu418kae5j2rpv6w2dw,1902,4l9mrqzmajz5crzlz50mtbt6x
Mattes Hansen,513442.0,2.0,164.0,0.0,0.02,-0.02,1.0,0.0,0.0,0.02,Mattes,Hansen,2004-05-15,22.34,1743.0,22.0,Midfielder,Defensive Midfielder,3znd103smd5bsn5cblzagotbe,62ljqd4za2a6svd9wgctg8b53,SC Paderborn 07,Paderborn,Paderborn,SCP,28.0,237.573,14.0,97.86,0.0,0.0,0.0,0.0,8.485,6.99,2.0,1.0,12.0,2.0,5.0,6.0,4.0,66.667,5.0,1.0,20.0,,,,,,,,,,513442.0,164.0,2.0,1.0,1.0,0.78,0.0,0.134,0.134,0.0,0.0,Mattes,Hansen,2004-05-15,22.34,1743.0,22.0,Midfielder,Defensive Midfielder,3znd103smd5bsn5cblzagotbe,62ljqd4za2a6svd9wgctg8b53,SC Paderborn 07,Paderborn,Paderborn,SCP,513442.0,164.0,2.0,134.0,115.0,85.82,11.0,9.0,81.82,1.0,1.0,100.0,0.0,0.0,0.0,Mattes,Hansen,2004-05-15,22.34,1743.0,22.0,Midfielder,Defensive Midfielder,3znd103smd5bsn5cblzagotbe,62ljqd4za2a6svd9wgctg8b53,SC Paderborn 07,Paderborn,Paderborn,SCP,513442,3znd103smd5bsn5cblzagotbe,1743,62ljqd4za2a6svd9wgctg8b53
Matthias Ginter,111251.0,2.0,180.0,0.0,0.05,-0.05,2.0,0.0,0.0,0.02,Matthias,Ginter,1994-01-19,32.67,160.0,28.0,Defender,Central Defender,84mp3eqt1ckw107hwxpby9cd1,6k5zscdm9ufw0tguvzyjlp5hq,SC Freiburg,Freiburg,Freiburg,SCF,21.0,220.95,13.0,135.24,0.0,0.0,1.0,1.0,10.521,10.403,5.0,4.0,2.0,1.0,10.0,9.0,7.0,77.778,16.0,10.0,62.5,,,,,,,,,,111251.0,180.0,2.0,4.0,4.0,2.97,0.0,0.181,0.18,1.0,1.0,Matthias,Ginter,1994-01-19,32.67,160.0,28.0,Defender,Central Defender,84mp3eqt1ckw107hwxpby9cd1,6k5zscdm9ufw0tguvzyjlp5hq,SC Freiburg,Freiburg,Freiburg,SCF,111251.0,180.0,2.0,104.0,91.0,87.5,17.0,14.0,82.35,0.0,0.0,0.0,0.0,0.0,0.0,Matthias,Ginter,1994-01-19,32.67,160.0,28.0,Defender,Central Defender,84mp3eqt1ckw107hwxpby9cd1,6k5zscdm9ufw0tguvzyjlp5hq,SC Freiburg,Freiburg,Freiburg,SCF,111251,84mp3eqt1ckw107hwxpby9cd1,160,6k5zscdm9ufw0tguvzyjlp5hq
Maurice Krattenmacher,522089.0,2.0,51.0,2.0,1.51,0.49,7.0,4.0,28.57,0.22,Maurice,Krattenmacher,2005-08-11,21.1,4071.0,7.0,Midfielder,Attacking Midfielder,bjmg2vxyhtkdpkbo0veujl1jo,cig09m7g3wx983agnqgovggoh,SV 07 Elversberg,Elversberg,Elversberg,ELV,8.0,92.56,5.0,60.27,2.0,0.0,0.0,0.0,11.57,12.054,0.0,1.0,5.0,0.0,0.0,10.0,6.0,60.0,0.0,0.0,0.0,,,,,,,,,,522089.0,51.0,2.0,0.0,0.0,0.0,0.0,0.013,0.013,0.0,0.0,Maurice,Krattenmacher,2005-08-11,21.1,4071.0,7.0,Midfielder,Attacking Midfielder,bjmg2vxyhtkdpkbo0veujl1jo,cig09m7g3wx983agnqgovggoh,SV 07 Elversberg,Elversberg,Elversberg,ELV,522089.0,51.0,2.0,5.0,3.0,60.0,3.0,2.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,Maurice,Krattenmacher,2005-08-11,21.1,4071.0,7.0,Midfielder,Attacking Midfielder,bjmg2vxyhtkdpkbo0veujl1jo,cig09m7g3wx983agnqgovggoh,SV 07 Elversberg,Elversberg,Elversberg,ELV,522089,bjmg2vxyhtkdpkbo0veujl1jo,4071,cig09m7g3wx983agnqgovggoh
Max Finkgräfe,629741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Max,Finkgräfe,2004-03-27,22.47,6339.0,35.0,Defender,0,629741,9gefq4dz9b2hl8rqrxwrlrzmp,RasenBallsport Leipzig,RB Leipzig,Leipzig,RBL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,629741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Max,Finkgräfe,2004-03-27,22.47,6339.0,35.0,Defender,0,629741,9gefq4dz9b2hl8rqrxwrlrzmp,RasenBallsport Leipzig,RB Leipzig,Leipzig,RBL,629741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Max,Finkgräfe,2004-03-27,22.47,6339.0,35.0,Defender,0,629741,9gefq4dz9b2hl8rqrxwrlrzmp,RasenBallsport Leipzig,RB Leipzig,Leipzig,RBL,629741,629741,6339,9gefq4dz9b2hl8rqrxwrlrzmp
Max Moerstedt,547426.0,2.0,43.0,0.0,1.31,-1.31,3.0,2.0,0.0,0.44,Max,Moerstedt,2006-01-15,20.67,1902.0,9.0,Forward,Striker,spjwukiya1mdmpbk7f4baolw,4l9mrqzmajz5crzlz50mtbt6x,TSG 1899 Hoffenheim,Hoffenheim,Hoffenheim,TSG,4.0,46.809,1.0,26.145,1.0,0.0,0.0,0.0,11.702,26.145,2.0,0.0,0.0,0.0,1.0,5.0,3.0,60.0,2.0,0.0,0.0,,,,,,,,,,547426.0,43.0,2.0,0.0,0.0,0.0,0.0,0.003,0.003,0.0,0.0,Max,Moerstedt,2006-01-15,20.67,1902.0,9.0,Forward,Striker,spjwukiya1mdmpbk7f4baolw,4l9mrqzmajz5crzlz50mtbt6x,TSG 1899 Hoffenheim,Hoffenheim,Hoffenheim,TSG,547426.0,43.0,2.0,5.0,5.0,100.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Max,Moerstedt,2006-01-15,20.67,1902.0,9.0,Forward,Striker,spjwukiya1mdmpbk7f4baolw,4l9mrqzmajz5crzlz50mtbt6x,TSG 1899 Hoffenheim,Hoffenheim,Hoffenheim,TSG,547426,spjwukiya1mdmpbk7f4baolw,1902,4l9mrqzmajz5crzlz50mtbt6x
Max Rosenfelder,494600.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Max,Rosenfelder,2003-02-10,23.6,160.0,37.0,Defender,Central Defender,f2f68n13t1nd3cjwair6jrip6,6k5zscdm9ufw0tguvzyjlp5hq,SC Freiburg,Freiburg,Freiburg,SCF,2.0,23.577,0.0,-4.83,0.0,0.0,0.0,0.0,11.788,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,494600.0,21.0,1.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,Max,Rosenfelder,2003-02-10,23.6,160.0,37.0,Defender,Central Defender,f2f68n13t1nd3cjwair6jrip6,6k5zscdm9ufw0tguvzyjlp5hq,SC Freiburg,Freiburg,Freiburg,SCF,494600.0,21.0,1.0,13.0,12.0,92.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Max,Rosenfelder,2003-02-10,23.6,160.0,37.0,Defender,Central Defender,f2f68n13t1nd3cjwair6jrip6,6k5zscdm9ufw0tguvzyjlp5hq,SC Freiburg,Freiburg,Freiburg,SCF,494600,f2f68n13t1nd3cjwair6jrip6,160,6k5zscdm9ufw0tguvzyjlp5hq
