playerId,playerName,teamId,h_a,matchId,clearanceTotal
44189.0,Sergio Canales,56,a,1993912,1
134695.0,Enes Ünal,819,h,1993912,0
135098.0,Johan Mojica,819,h,1993912,1
243262.0,David Soria,819,h,1993912,0
278721.0,Borja Mayoral,819,h,1993912,0
331171.0,Asier Villalibre,56,a,1993912,1
332990.0,Djené Dakonam,819,h,1993912,3
344073.0,Orel Mangala,819,h,1993912,0
372473.0,Iván Martín,56,a,1993912,0
389191.0,Zaid Romero,819,h,1993912,6
402137.0,Iñigo Vicente,56,a,1993912,1
403803.0,Martín Satriano,819,h,1993912,2
409740.0,Abdel Abqar,819,h,1993912,1
410988.0,Saba Sazonov,819,h,1993912,3
413758.0,Pablo Ramón,56,a,1993912,13
422961.0,Andrés Martín,56,a,1993912,0
423108.0,Julen Agirrezabala,56,a,1993912,4
423973.0,Manu Hernando,56,a,1993912,10
424675.0,Francho Serrano,819,h,1993912,1
431570.0,Juan Carlos Arana,56,a,1993912,0
444244.0,Ramón Terrats,819,h,1993912,4
444264.0,Facu González,56,a,1993912,0
448397.0,Álvaro Mantilla,56,a,1993912,2
469329.0,Andrés García,819,h,1993912,1
472904.0,Gustavo Puerta,56,a,1993912,0
484251.0,Sebastián Boselli,819,h,1993912,1
485481.0,Maguette Gueye,56,a,1993912,0
523331.0,Alberto Risco,819,h,1993912,0
538158.0,Yassir Zabiri,56,a,1993912,0
541900.0,Jorge Salinas,56,a,1993912,5
586240.0,Sergio Martínez,56,a,1993912,1
